id;date_created;code;max_user;max_video_time
1;2020-04-09;Cheese invoice Shores;91802;21569
2;2020-04-09;vortals optical Tools;5928;27194
3;2020-04-10;bottom-line user-facing Bike;40745;4554
4;2020-04-09;connect Utah;18910;17044
5;2020-04-09;Montana;69063;86494
6;2020-04-09;internet solution invoice;26193;35371
7;2020-04-09;JSON Berkshire Land;71817;48023
8;2020-04-10;Cambridgeshire Dobra;7090;47881
9;2020-04-10;online Comoro Franc payment;51351;86535
10;2020-04-10;productize service-desk;40785;1379
