id;date_created;code;max_player;max_video_time
1;2020-04-08;maximize Yemeni Rial;58941;94688
2;2020-04-08;Soap magenta;85559;84939
3;2020-04-08;Infrastructure;57135;53810
4;2020-04-08;uniform Checking Account;29408;83827
5;2020-04-08;Chief e-business protocol;21750;34539
6;2020-04-07;Refined Steel Chips;97957;62727
7;2020-04-08;deliverables program;65093;19768
8;2020-04-08;open-source Credit Card Account;62853;76215
9;2020-04-08;value-added;25111;88900
10;2020-04-08;Circle Handmade Fresh Table;7143;61843
