id;date_created;iframe;title;duration;view;jhi_like;dislike
1;2020-04-10;grey e-business;Plastic;13850;66050;87331;70297
2;2020-04-10;4th generation;Namibia;50647;85270;3463;40761
3;2020-04-09;Outdoors Estate Sleek Steel Shirt;Uzbekistan Sum;61196;29677;23181;83867
4;2020-04-10;payment;Auto Loan Account quantifying e-tailers;25429;73401;50708;3680
5;2020-04-09;Data Officer Operations;Incredible Metal Bacon;43240;12591;47175;28737
6;2020-04-09;copy Belize Dollar Martinique;quantifying;89567;14802;62607;64076
7;2020-04-10;system engine Home connecting;secured line;14962;41923;19138;20940
8;2020-04-10;empowering Optimization;Automotive generating overriding;3293;42625;74960;60359
9;2020-04-10;Consultant bypassing Representative;Paraguay;8974;83566;4233;14030
10;2020-04-09;Maine magenta modular;Analyst revolutionize;79911;9551;63733;59049
